チョコ120円(個),アメ50円(個),ガム150円(個),合計金額(円)
6,3,7,1920
4,6,9,2130
2,6,7,1590
4,3,7,1680
7,2,5,1690
4,1,7,1580
5,1,4,1250
0,9,5,1200
8,0,9,2310
2,6,3,990
8,2,4,1660
2,6,4,1140
8,6,1,1410
3,8,1,910
9,8,9,2830
4,1,3,980
6,7,2,1370
0,3,1,300
7,3,1,1140
5,5,9,2200
3,5,1,760
9,1,9,2480
3,7,6,1610
8,7,4,1910
1,4,7,1370
9,8,8,2680
0,8,6,1300
8,7,0,1310
7,7,2,1490
0,7,2,650
2,0,4,840
9,6,9,2730
8,6,8,2460
7,1,0,890
6,6,7,2070
4,2,7,1630
5,2,0,700
2,4,2,740
0,4,9,1550
6,6,8,2220
9,9,2,1830
6,0,3,1170
3,4,6,1460
6,3,6,1770
2,5,1,640
9,8,4,2080
5,3,9,2100
6,8,6,2020
0,0,8,1200
8,3,8,2310
2,6,5,1290
7,8,4,1840
0,2,9,1450
7,5,7,2140
8,3,0,1110
0,9,3,900
6,1,2,1070
0,4,0,200
7,0,0,840
1,1,5,920
6,4,0,920
0,2,1,250
4,9,5,1680
6,3,6,1770
7,0,5,1590
7,4,3,1490
1,5,5,1120
0,8,5,1150
2,3,3,840
2,9,2,990
2,3,6,1290
3,8,0,760
7,6,1,1290
7,0,8,2040
8,1,6,1910
9,2,6,2080
9,8,3,1930
0,1,0,50
4,4,6,1580
8,8,2,1660
2,2,3,790
7,5,7,2140
0,7,3,800
0,7,3,800
5,7,3,1400
2,8,2,940
8,1,1,1160
1,5,2,670
8,3,0,1110
3,0,4,960
3,7,7,1760
6,2,0,820
0,2,5,850
6,5,5,1720
5,2,5,1450
7,1,4,1490
0,0,4,600
2,3,2,690
0,0,4,600
5,2,8,1900
4,7,0,830
4,2,0,580
3,4,6,1460
0,2,1,250
8,9,5,2160
9,2,7,2230
7,1,5,1640
6,1,9,2120
1,9,0,570
7,0,8,2040
5,6,9,2250
6,9,2,1470
1,8,7,1570
9,6,8,2580
3,3,0,510
7,2,6,1840
1,1,6,1070
5,2,8,1900
9,5,9,2680
9,5,0,1330
3,9,5,1560
5,4,0,800
7,4,4,1640
6,3,5,1620
3,2,6,1360
7,3,1,1140
9,2,0,1180
7,2,9,2290
6,9,4,1770
9,4,6,2180
8,4,0,1160
9,9,0,1530
1,5,8,1570
7,4,0,1040
6,4,5,1670
6,2,9,2170
2,4,5,1190
8,4,0,1160
3,4,9,1910
9,4,6,2180
3,0,4,960
6,9,9,2520
5,4,3,1250
1,3,9,1620
9,2,9,2530
0,7,4,950
3,7,6,1610
1,0,3,570
7,1,2,1190
0,0,2,300
4,2,0,580
0,7,9,1700
1,2,1,370
2,6,0,540
9,7,9,2780
9,9,1,1680
2,8,6,1540
3,9,4,1410
1,7,3,920
8,4,8,2360
3,9,4,1410
8,7,2,1610
0,2,3,550
1,0,6,1020
7,6,4,1740
0,6,6,1200
8,2,8,2260
0,0,3,450
8,5,2,1510
0,3,8,1350
2,8,6,1540
3,2,9,1810
4,4,2,980
8,3,4,1710
3,4,6,1460
8,6,4,1860
9,9,6,2430
9,4,2,1580
6,1,8,1970
9,9,0,1530
5,6,7,1950
9,8,1,1630
9,1,4,1730
4,5,2,1030
7,0,5,1590
3,0,6,1260
8,3,3,1560
5,2,5,1450
6,9,9,2520
2,6,2,840
1,9,3,1020
7,8,6,2140
0,2,8,1300
0,8,7,1450
0,5,4,850
5,9,4,1650
5,4,4,1400
3,2,2,760
3,8,1,910
8,0,0,960
4,5,5,1480
2,6,8,1740
9,7,5,2180
7,4,7,2090
9,3,9,2580
7,9,1,1440
4,8,3,1330
5,0,8,1800
0,4,3,650
2,5,1,640
2,4,8,1640
1,9,7,1620
1,4,6,1220
7,0,5,1590
0,1,0,50
4,9,8,2130
5,0,0,600
1,8,2,820
0,4,6,1100
5,0,4,1200
4,5,2,1030
4,6,4,1380
4,4,9,2030
9,2,0,1180
4,8,0,880
2,3,0,390
0,7,1,500
7,6,9,2490
9,1,5,1880
5,2,1,850
0,5,4,850
8,0,6,1860
4,4,1,830
2,6,5,1290
1,5,1,520
1,1,2,470
1,3,8,1470
5,0,7,1650
6,9,2,1470
0,4,3,650
9,7,0,1430
9,0,3,1530
7,4,1,1190
5,4,1,950
2,8,6,1540
6,5,7,2020
3,7,3,1160
7,8,2,1540
2,1,9,1640
2,2,4,940
4,1,9,1880
5,4,5,1550
0,4,8,1400
9,1,0,1130
9,8,9,2830
8,8,5,2110
7,0,9,2190
3,0,7,1410
0,2,3,550
7,5,9,2440
6,7,1,1220
9,7,2,1730
6,2,6,1720
1,9,5,1320
2,2,8,1540
6,4,9,2270
6,8,0,1120
6,5,9,2320
8,0,3,1410
8,3,9,2460
2,8,1,790
3,5,1,760
7,7,0,1190
2,9,8,1890
4,5,3,1180
9,1,7,2180
5,4,8,2000
0,4,5,950
4,5,5,1480
6,3,7,1920
6,8,6,2020
2,2,7,1390
4,3,7,1680
5,1,3,1100
3,5,5,1360
0,7,5,1100
2,8,1,790
7,9,2,1590
4,5,9,2080
5,3,2,1050
3,0,3,810
0,0,9,1350
5,4,3,1250
2,0,5,990
1,7,9,1820
4,6,9,2130
1,7,1,620
3,0,4,960
8,0,8,2160
7,5,6,1990
2,0,4,840
1,4,7,1370
8,1,2,1310
2,0,7,1290
5,7,8,2150
4,2,4,1180
4,4,2,980
9,3,8,2430
9,8,1,1630
7,7,6,2090
7,2,5,1690
0,6,0,300
8,0,0,960
6,1,4,1370
7,7,2,1490
6,2,5,1570
5,2,6,1600
2,7,9,1940
3,0,3,810
6,3,5,1620
8,0,4,1560
6,0,3,1170
5,1,9,2000
4,9,0,930
5,5,3,1300
7,3,7,2040
7,4,3,1490
1,2,2,520
3,3,9,1860
4,3,9,1980
7,5,5,1840
7,6,9,2490
9,7,1,1580
8,0,7,2010
3,3,4,1110
7,4,7,2090
9,0,9,2430
8,5,2,1510
7,8,5,1990
6,0,4,1320
4,9,3,1380
5,6,8,2100
0,5,6,1150
2,7,4,1190
8,4,8,2360
9,3,8,2430
4,9,8,2130
2,3,8,1590
9,5,1,1480
6,1,1,920
0,2,5,850
7,8,6,2140
3,5,4,1210
7,0,0,840
5,9,1,1200
4,0,6,1380
0,3,8,1350
0,3,5,900
5,7,0,950
6,0,6,1620
2,7,2,890
0,7,2,650
1,0,2,420
1,1,5,920
0,1,5,800
2,3,0,390
7,6,6,2040
2,9,9,2040
2,1,0,290
6,6,1,1170
6,7,0,1070
8,6,2,1560
7,6,7,2190
5,8,4,1600
2,2,0,340
7,1,2,1190
7,7,3,1640
3,4,5,1310
4,6,1,930
6,9,6,2070
0,6,4,900
2,2,3,790
1,1,0,170
4,3,9,1980
1,2,6,1120
6,3,4,1470
4,5,8,1930
1,4,2,620
3,9,5,1560
7,0,9,2190
7,6,0,1140
1,2,0,220
8,7,1,1460
8,6,8,2460
5,5,3,1300
9,9,1,1680
6,4,5,1670
1,4,9,1670
3,8,5,1510
1,0,4,720
8,5,9,2560
6,4,9,2270
5,4,8,2000
5,7,1,1100
8,4,6,2060
9,0,9,2430
4,9,1,1080
5,0,2,900
4,3,2,930
9,4,7,2330
3,0,6,1260
7,2,5,1690
1,6,7,1470
5,5,4,1450
7,0,9,2190
3,3,2,810
2,3,0,390
1,8,9,1870
1,4,8,1520
8,7,0,1310
0,8,7,1450
9,8,6,2380
2,2,1,490
4,2,5,1330
1,2,4,820
0,0,9,1350
8,6,0,1260
7,2,7,1990
4,0,6,1380
4,5,5,1480
7,8,1,1390
8,9,8,2610
9,9,6,2430
0,6,9,1650
4,5,9,2080
6,4,6,1820
8,2,7,2110
1,6,1,570
3,6,2,960
1,9,6,1470
0,7,2,650
1,2,4,820
7,9,6,2190
6,6,7,2070
0,3,5,900
8,1,0,1010
9,1,6,2030
2,9,1,840
6,1,2,1070
6,3,0,870
4,8,7,1930
8,9,8,2610
6,3,4,1470
0,0,2,300
7,1,3,1340
1,4,8,1520
0,4,8,1400
0,8,7,1450
3,9,4,1410
4,5,6,1630
7,7,1,1340
8,6,3,1710
3,7,3,1160
5,4,2,1100
9,1,8,2330
9,8,0,1480
9,2,7,2230
5,4,4,1400
5,6,0,900
8,2,3,1510
9,0,9,2430
2,1,1,440
0,7,2,650
2,5,7,1540
8,8,3,1810
4,1,8,1730
7,2,8,2140
2,8,1,790
9,8,7,2530
8,4,1,1310
7,5,7,2140
4,9,1,1080
5,4,4,1400
0,1,7,1100
2,9,2,990
7,7,1,1340
7,0,5,1590
7,2,7,1990
0,8,8,1600
4,9,3,1380
5,6,4,1500
9,8,2,1780
6,9,9,2520
4,6,1,930
3,1,6,1310
1,0,8,1320
0,7,1,500
7,2,5,1690
2,6,9,1890
8,1,4,1610
5,3,3,1200
3,1,3,860
0,5,0,250
9,5,0,1330
5,9,7,2100
1,1,3,620
2,3,6,1290
0,5,2,550
9,6,9,2730
1,1,3,620
0,2,8,1300
6,6,3,1470
1,3,5,1020
2,0,7,1290
4,4,3,1130
5,2,8,1900
4,2,0,580
9,5,1,1480
2,0,8,1440
7,1,7,1940
8,0,4,1560
7,1,3,1340
6,2,4,1420
7,9,2,1590
3,8,6,1660
0,3,3,600
8,5,8,2410
5,5,4,1450
4,1,7,1580
7,0,7,1890
4,1,1,680
5,8,0,1000
5,8,7,2050
5,2,7,1750
8,0,8,2160
5,5,3,1300
0,9,7,1500
1,0,1,270
0,0,8,1200
0,3,9,1500
5,6,1,1050
5,6,9,2250
9,1,1,1280
9,6,0,1380
7,2,5,1690
8,5,8,2410
6,8,1,1270
7,7,1,1340
3,6,3,1110
3,5,9,1960
5,9,2,1350
8,9,1,1560
5,6,8,2100
2,9,2,990
6,3,7,1920
6,4,6,1820
2,1,5,1040
1,2,5,970
4,7,8,2030
2,9,2,990
2,5,0,490
6,0,4,1320
9,7,3,1880
4,3,3,1080
7,1,0,890
2,8,3,1090
9,4,1,1430
3,1,1,560
3,5,6,1510
9,2,2,1480
9,5,2,1630
1,7,4,1070
0,2,9,1450
7,3,6,1890
9,1,6,2030
4,4,5,1430
8,5,7,2260
6,8,3,1570
1,6,5,1170
0,8,8,1600
1,2,4,820
4,0,7,1530
7,3,6,1890
9,2,5,1930
9,9,8,2730
0,4,3,650
7,0,8,2040
5,3,8,1950
4,4,4,1280
0,0,7,1050
7,5,3,1540
1,1,8,1370
4,3,9,1980
0,6,2,600
5,4,4,1400
4,0,0,480
2,9,3,1140
4,1,7,1580
1,8,1,670
8,6,7,2310
1,6,5,1170
3,6,3,1110
1,9,6,1470
7,1,4,1490
0,6,7,1350
5,4,5,1550
1,0,6,1020
6,9,9,2520
1,1,0,170
9,7,7,2480
0,7,8,1550
3,0,0,360
2,4,4,1040
8,9,1,1560
1,5,8,1570
0,8,8,1600
8,4,8,2360
3,1,5,1160
3,5,2,910
5,1,1,800
8,6,2,1560
0,7,5,1100
6,8,4,1720
0,9,6,1350
4,2,8,1780
0,0,0,0
2,5,9,1840
2,7,9,1940
1,8,2,820
4,9,7,1980
1,5,4,970
9,8,4,2080
1,4,3,770
6,5,1,1120
4,6,6,1680
4,8,3,1330
2,3,4,990
5,2,1,850
3,4,3,1010
2,7,9,1940
3,1,1,560
0,3,9,1500
8,6,9,2610
6,6,7,2070
0,9,9,1800
7,3,3,1440
3,5,6,1510
5,0,7,1650
9,6,5,2130
5,4,5,1550
8,9,8,2610
9,7,9,2780
8,9,7,2460
7,0,9,2190
4,3,1,780
7,2,3,1390
6,9,8,2370
1,2,3,670
9,0,6,1980
1,4,0,320
2,1,0,290
6,4,0,920
5,4,2,1100
6,9,8,2370
8,8,1,1510
2,6,4,1140
1,2,9,1570
5,6,8,2100
0,6,7,1350
2,3,9,1740
5,9,6,1950
3,7,4,1310
0,3,2,450
8,7,0,1310
5,8,6,1900
3,0,1,510
4,4,7,1730
5,7,1,1100
2,5,9,1840
2,5,5,1240
1,6,1,570
5,0,2,900
1,6,3,870
7,5,9,2440
3,4,8,1760
6,9,8,2370
6,0,7,1770
3,2,6,1360
2,7,5,1340
4,3,7,1680
7,0,8,2040
4,3,5,1380
5,1,7,1700
6,0,4,1320
5,3,1,900
3,0,6,1260
1,1,8,1370
4,1,8,1730
8,0,2,1260
3,6,9,2010
3,1,6,1310
5,2,5,1450
5,4,3,1250
9,0,9,2430
5,1,2,950
7,9,5,2040
2,6,3,990
8,4,2,1460
1,1,2,470
1,3,1,420
9,8,1,1630
8,5,0,1210
3,0,5,1110
3,2,2,760
8,5,8,2410
4,1,7,1580
4,1,3,980
8,3,3,1560
1,5,1,520
6,2,2,1120
4,2,1,730
9,8,1,1630
1,7,8,1670
6,2,8,2020
2,4,8,1640
2,6,0,540
3,3,6,1410
7,0,4,1440
6,3,3,1320
3,5,6,1510
1,4,3,770
2,6,5,1290
6,4,5,1670
4,6,1,930
4,5,5,1480
4,9,6,1830
9,7,6,2330
4,0,4,1080
9,1,4,1730
4,1,4,1130
3,0,2,660
0,4,3,650
6,4,9,2270
3,1,3,860
1,7,2,770
8,3,5,1860
9,4,9,2630
0,8,0,400
7,8,8,2440
0,1,0,50
9,1,9,2480
7,4,6,1940
1,7,5,1220
7,0,0,840
6,7,2,1370
4,0,6,1380
4,7,7,1880
8,6,0,1260
2,7,2,890
7,0,4,1440
3,4,7,1610
9,3,3,1680
2,6,2,840
2,9,4,1290
4,5,7,1780
9,5,0,1330
7,7,8,2390
8,1,1,1160
2,0,3,690
3,8,8,1960
8,9,6,2310
1,9,4,1170
3,7,1,860
5,4,1,950
9,0,7,2130
1,6,8,1620
8,7,9,2660
8,1,5,1760
3,3,4,1110
2,0,7,1290
4,2,9,1930
6,6,0,1020
8,1,4,1610
4,7,7,1880
6,6,5,1770
5,8,5,1750
1,1,4,770
3,1,2,710
6,7,5,1820
4,0,7,1530
2,5,2,790
6,6,8,2220
4,7,9,2180
9,7,0,1430
4,2,0,580
3,7,2,1010
9,1,8,2330
9,4,6,2180
1,8,8,1720
3,3,5,1260
9,9,9,2880
5,0,8,1800
1,4,8,1520
3,2,6,1360
5,7,2,1250
4,9,3,1380
3,3,9,1860
7,5,2,1390
9,4,5,2030
4,5,7,1780
6,4,9,2270
5,3,8,1950
3,0,6,1260
6,3,2,1170
7,4,9,2390
6,3,3,1320
7,7,1,1340
1,2,2,520
0,2,5,850
7,9,5,2040
4,3,2,930
3,6,0,660
6,0,1,870
3,0,8,1560
5,0,0,600
5,3,3,1200
5,6,8,2100
9,4,8,2480
3,9,1,960
2,0,5,990
5,0,2,900
4,2,9,1930
2,9,2,990
4,4,3,1130
0,4,9,1550
4,3,5,1380
9,3,6,2130
6,1,2,1070
0,7,8,1550
3,5,8,1810
5,8,3,1450
7,8,3,1690
4,7,9,2180
5,6,2,1200
6,7,9,2420
5,9,8,2250
5,8,3,1450
7,3,1,1140
9,8,4,2080
3,1,0,410
6,5,1,1120
7,3,7,2040
6,4,9,2270
9,7,8,2630
4,9,4,1530
1,4,2,620
6,9,4,1770
7,0,2,1140
2,8,4,1240
8,8,0,1360
1,4,3,770
9,8,6,2380
5,6,0,900
0,7,1,500
9,8,6,2380
5,0,0,600
1,5,5,1120
1,0,9,1470
4,4,1,830
5,8,1,1150
9,1,2,1430
6,5,7,2020
7,5,9,2440
2,2,0,340
6,4,3,1370
9,3,3,1680
5,7,7,2000
4,5,3,1180
8,7,9,2660
9,0,1,1230
8,7,2,1610
7,0,9,2190
3,2,5,1210
6,3,6,1770
8,1,2,1310
4,2,7,1630
9,7,7,2480
8,3,4,1710
4,7,6,1730
8,7,1,1460
9,3,5,1980
1,6,2,720
2,1,7,1340
5,0,0,600
6,7,4,1670
4,3,5,1380
5,2,8,1900
6,0,6,1620
4,4,1,830
3,5,9,1960
6,4,8,2120
2,0,3,690
8,3,1,1260
9,4,2,1580
8,3,5,1860
1,5,2,670
8,1,8,2210
4,7,1,980
5,2,9,2050
4,7,9,2180
0,4,2,500
3,1,8,1610
2,1,9,1640
8,6,5,2010
0,4,2,500
0,3,1,300
1,2,7,1270
7,6,5,1890
8,3,0,1110
7,6,6,2040
2,3,9,1740
8,5,4,1810
2,8,4,1240
4,3,3,1080
0,6,8,1500
2,1,2,590
0,5,6,1150
1,7,5,1220
3,4,7,1610
2,2,3,790
0,8,7,1450
7,9,5,2040
6,5,8,2170
2,2,2,640
9,2,8,2380
3,6,8,1860
6,8,2,1420
3,7,5,1460
4,3,7,1680
0,8,0,400
7,3,8,2190
4,2,8,1780
8,3,3,1560
7,1,8,2090
5,8,7,2050
6,0,2,1020
1,4,4,920
4,3,4,1230
2,0,4,840
8,8,3,1810
2,0,1,390
7,0,7,1890
6,7,5,1820
8,2,9,2410
3,5,7,1660
4,2,5,1330
3,8,2,1060
3,6,6,1560
3,5,2,910
5,1,7,1700
1,6,8,1620
0,7,6,1250
5,5,5,1600
8,1,0,1010
5,9,7,2100
2,9,0,690
8,0,2,1260
7,2,3,1390
7,0,5,1590
0,0,7,1050
3,0,9,1710
6,4,4,1520
0,9,5,1200
8,8,7,2410
4,0,8,1680
0,7,4,950
2,6,6,1440
8,6,2,1560
0,7,2,650
7,7,4,1790
0,9,6,1350
9,4,7,2330
8,6,6,2160
0,3,1,300
1,1,3,620
0,3,1,300
4,2,7,1630
3,0,0,360
9,2,8,2380
6,1,8,1970
9,1,2,1430
9,1,2,1430
5,8,8,2200
6,2,3,1270
5,4,1,950
5,2,7,1750
1,0,8,1320
2,0,6,1140
9,4,4,1880
0,8,6,1300
